,estuary,discharge,flushing_time,S_in_mean,S_out_mean,eta,vel_tide,ur,Ro_s,C_k,tidal_phase
0,Dee,1,[-2.76761979e+27],25.898472935016812,6.790464579211547e+23,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,5.022680092113282e+24,spring
1,Dee,1,[-4.57184104e+10],26.868385660460593,11637309.971778987,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,93445373.45786773,neap
2,Dee,2,[-7.92641259e+24],25.898472935016812,3.889553342102763e+21,21.026239379811326,0.5122197051258203,0.00010526315789473685,1019.850615801396,1.8168175894437606e+22,spring
3,Dee,2,[-3.16828444e+09],26.868385660460593,1612953.5932021383,0.08387859983595645,0.03235518418713187,0.00010526315789473685,1020.566262691077,8183689.065927621,neap
4,Dee,5,[-3.44621919e+21],25.898472935016812,4.2277175221690977e+18,21.026239379811326,0.5122197051258203,0.0002631578947368421,1019.850615801396,1.0756220819998173e+19,spring
5,Dee,5,[-92875372.40181199],26.868385660460593,118230.5626828028,0.08387859983595645,0.03235518418713187,0.0002631578947368421,1020.566262691077,327240.07822637196,neap
6,Dee,10,[-9.86821359e+18],25.898472935016812,2.42120522447725e+16,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,3.890769633606423e+16,spring
7,Dee,10,[-6420068.06098539],26.868385660460593,16368.676613667289,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077,28658.786957729037,neap
8,Dee,20,[-2.82514662e+16],25.898472935016812,138632179067240.08,21.026239379811326,0.5122197051258203,0.0010526315789473684,1019.850615801396,140737984047787.84,spring
9,Dee,20,[-442333.70981096],26.868385660460593,2278.723845711161,0.08387859983595645,0.03235518418713187,0.0010526315789473684,1020.566262691077,2509.8578216337514,neap
10,Dee,30,[-9.18942843e+14],25.898472935016812,6763987803900.633,21.026239379811326,0.5122197051258203,0.0015789473684210528,1019.850615801396,5249920570890.715,spring
11,Dee,30,[-92223.39331624],26.868385660460593,731.1118578762406,0.08387859983595645,0.03235518418713187,0.0015789473684210528,1020.566262691077,603.9315244775194,neap
12,Dee,40,[-8.08457624e+13],25.898472935016812,793433098922.736,21.026239379811326,0.5122197051258203,0.002105263157894737,1019.850615801396,509081287741.9257,spring
13,Dee,40,[-30245.27194833],26.868385660460593,334.8167932402293,0.08387859983595645,0.03235518418713187,0.002105263157894737,1020.566262691077,219.80645217494896,neap
14,Dee,50,[-1.22688642e+13],25.898472935016812,150510717514.84875,21.026239379811326,0.5122197051258203,0.002631578947368421,1019.850615801396,83322004530.06706,spring
15,Dee,50,[-12708.68034403],26.868385660460593,188.61341315892398,0.08387859983595645,0.03235518418713187,0.002631578947368421,1020.566262691077,100.36134844223864,neap
16,Leven,1,[699.71117534],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,8.23045267489712e-05,1021.2879691498998,0.0,spring
17,Leven,1,[-1.76658998e+10],28.229224379093196,4574683.870744471,0.045988015083810035,0.032355184187131875,8.23045267489712e-05,1021.5499642867429,50695269.92646465,neap
18,Leven,2,[349.85558767],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.0001646090534979424,1021.2879691498998,0.0,spring
19,Leven,2,[-1.14210265e+09],28.229224379093196,591532.3606634153,0.045988015083810035,0.032355184187131875,0.0001646090534979424,1021.5499642867429,4143296.9993234393,neap
20,Leven,5,[139.94223507],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.000411522633744856,1021.2879691498998,0.0,spring
21,Leven,5,[-30524781.33022514],28.229224379093196,39550.80238313063,0.045988015083810035,0.032355184187131875,0.000411522633744856,1021.5499642867429,151212.89012582277,neap
22,Leven,10,[69.97111753],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.000823045267489712,1021.2879691498998,0.0,spring
23,Leven,10,[-1965647.08328093],28.229224379093196,5118.35123461164,0.045988015083810035,0.032355184187131875,0.000823045267489712,1021.5499642867429,12358.547746685961,neap
24,Leven,20,[34.98555877],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.001646090534979424,1021.2879691498998,0.0,spring
25,Leven,20,[-125895.3781691],28.229224379093196,680.2514931329159,0.045988015083810035,0.032355184187131875,0.001646090534979424,1021.5499642867429,1010.0574248665474,neap
26,Leven,30,[23.32370584],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.0024691358024691358,1021.2879691498998,0.0,spring
27,Leven,30,[-25089.44339384],28.229224379093196,223.13958615720435,0.045988015083810035,0.032355184187131875,0.0024691358024691358,1021.5499642867429,233.41477680592433,neap
28,Leven,40,[17.49277938],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.003292181069958848,1021.2879691498998,0.0,spring
29,Leven,40,[-7947.50819222],28.229224379093196,110.55079007578051,0.045988015083810035,0.032355184187131875,0.003292181069958848,1021.5499642867429,82.55144717967525,neap
30,Leven,50,[13.99422351],27.822821016483733,27.644236553282965,11.528029981969928,0.5122197051258203,0.004115226337448561,1021.2879691498998,0.0,spring
31,Leven,50,[-3240.44379314],28.229224379093196,70.18552064068786,0.045988015083810035,0.032355184187131875,0.004115226337448561,1021.5499642867429,36.86284194255361,neap
32,Ribble,1,[207.58207048],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,2.8571428571428574e-05,1022.0532826468817,8.443118951942844e-42,spring
33,Ribble,1,[-3.69054447e+13],29.020047399921722,4079991471.7502556,0.04827833951017263,0.032355184187131875,2.8571428571428574e-05,1022.3535482229181,73373605993.32144,neap
34,Ribble,2,[103.79103524],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,5.714285714285715e-05,1022.0532826468817,4.204621805769111e-42,spring
35,Ribble,2,[-1.48852434e+12],29.020047399921722,329120386.70716166,0.04827833951017263,0.032355184187131875,5.714285714285715e-05,1022.3535482229181,3738836242.6870313,neap
36,Ribble,5,[41.5164141],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,0.0001428571428571429,1022.0532826468817,1.6729342692575115e-42,spring
37,Ribble,5,[-2.13454014e+10],29.020047399921722,11798973.053537255,0.04827833951017263,0.032355184187131875,0.0001428571428571429,1022.3535482229181,73070702.49980879,neap
38,Ribble,10,[20.75820705],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,0.0002857142857142858,1022.0532826468817,8.331110752052052e-43,spring
39,Ribble,10,[-8.59793974e+08],29.020047399921722,950553.2822152145,0.04827833951017263,0.032355184187131875,0.0002857142857142858,1022.3535482229181,3723401.447787013,neap
40,Ribble,20,[10.37910352],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,0.0005714285714285716,1022.0532826468817,4.1488424045352345e-43,spring
41,Ribble,20,[-34575348.98888206],29.020047399921722,76476.88797320511,0.04827833951017263,0.032355184187131875,0.0005714285714285716,1022.3535482229181,189730.19099438257,neap
42,Ribble,30,[6.91940235],28.65660450990202,28.633943186865917,12.1021562756886,0.5122197051258203,0.000857142857142857,1022.0532826468817,2.7593980301720666e-43,spring
43,Ribble,30,[-5269612.22203328],29.020047399921722,17506.09392884137,0.04827833951017263,0.032355184187131875,0.000857142857142857,1022.3535482229181,33257.90762911317,neap
44,Ribble,40,[5.18955176],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,0.0011428571428571432,1022.0532826468817,2.066098244274326e-43,spring
45,Ribble,40,[-1385770.75734309],29.020047399921722,6157.040323746124,0.04827833951017263,0.032355184187131875,0.0011428571428571432,1022.3535482229181,9667.919476198267,neap
46,Ribble,50,[4.15164141],28.65660450990202,28.63394318686591,12.1021562756886,0.5122197051258203,0.0014285714285714286,1022.0532826468817,1.6507407697815828e-43,spring
47,Ribble,50,[-491362.46965391],29.020047399921722,2745.0890302378343,0.04827833951017263,0.032355184187131875,0.0014285714285714286,1022.3535482229181,3708.0303713486114,neap
48,Lune,1,[31.67773131],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.0018518518518518517,1022.0924041460562,0.0,spring
49,Lune,1,[-0.10158309],29.246868499607558,29.247831854794214,0.031936121585979194,0.032355184187131875,0.0018518518518518517,1022.0741977181856,2.6278727255528693,neap
50,Lune,2,[15.83886565],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.0037037037037037034,1022.0924041460562,0.0,spring
51,Lune,2,[15.94034822],29.246868499607558,28.944530452727204,0.031936121585979194,0.032355184187131875,0.0037037037037037034,1022.0741977181856,0.9369184621379176,neap
52,Lune,5,[6.33554626],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.009259259259259259,1022.0924041460562,0.0,spring
53,Lune,5,[10.78710682],29.246868499607558,28.735375155274625,0.031936121585979194,0.032355184187131875,0.009259259259259259,1022.0741977181856,0.23966623749910687,neap
54,Lune,10,[3.16777313],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.018518518518518517,1022.0924041460562,0.0,spring
55,Lune,10,[6.24111647],29.246868499607558,28.6549971871278,0.031936121585979194,0.032355184187131875,0.018518518518518517,1022.0741977181856,0.08544847719624714,neap
56,Lune,20,[1.58388657],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.037037037037037035,1022.0924041460562,0.0,spring
57,Lune,20,[3.3532986],29.246868499607558,28.610853693707444,0.031936121585979194,0.032355184187131875,0.037037037037037035,1022.0741977181856,0.030465043100552595,neap
58,Lune,30,[1.05592438],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.05555555555555556,1022.0924041460562,0.0,spring
59,Lune,30,[2.28923121],29.246868499607558,28.595576242585736,0.031936121585979194,0.032355184187131875,0.05555555555555556,1022.0741977181856,0.01666462758044045,neap
60,Lune,40,[0.79194328],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.07407407407407407,1022.0924041460562,0.0,spring
61,Lune,40,[1.73688277],29.246868499607558,28.58800492080539,0.031936121585979194,0.032355184187131875,0.07407407407407407,1022.0741977181856,0.010861736587615746,neap
62,Lune,50,[0.63355463],28.988759757963013,28.69099771435134,8.005576376368007,0.5122197051258203,0.09259259259259257,1022.0924041460562,0.0,spring
63,Lune,50,[1.39883791],29.246868499607558,28.58358010198813,0.031936121585979194,0.032355184187131875,0.09259259259259257,1022.0741977181856,0.007793039149315822,neap
64,Mersey,1,[5.10116403e+219],28.537050686981306,-2.944228741120329e+216,2.6870272353036078,0.5122197051258203,0.0001807909604519774,1021.9374608366392,-6.98224755466284e+217,spring
65,Mersey,1,[-6.82867615e+13],29.155563138575488,40267171488.10549,0.010719181787436215,0.032355184187131875,0.0001807909604519774,1022.2515780283223,1017322999775.5968,neap
66,Mersey,2,[2.01721699e+219],28.537050686981306,-2.3285462671733976e+216,2.6870272353036078,0.5122197051258203,0.0003615819209039548,1021.9374608366392,-3.4884629429891617e+217,spring
67,Mersey,2,[-5.44789298e+11],29.155563138575488,642500085.9455535,0.010719181787436215,0.032355184187131875,0.0003615819209039548,1022.2515780283223,10271408269.004824,neap
68,Mersey,5,[5.91348023e+218],28.537050686981306,-1.706535837217473e+216,2.6870272353036078,0.5122197051258203,0.0009039548022598871,1021.9374608366392,-1.3939794493893344e+217,spring
69,Mersey,5,[-9.14522964e+08],29.155563138575488,2696397.541946176,0.010719181787436215,0.032355184187131875,0.0009039548022598871,1022.2515780283223,23620426.462122858,neap
70,Mersey,10,[2.33482252e+218],28.537050686981306,-1.3475848914014624e+216,2.6870272353036078,0.5122197051258203,0.0018079096045197742,1021.9374608366392,-6.964584991312221e+216,spring
71,Mersey,10,[-7237156.13102695],29.155563138575488,42705.04184285952,0.010719181787436215,0.032355184187131875,0.0018079096045197742,1022.2515780283223,238483.7890561657,neap
72,Mersey,20,[9.20085586e+217],28.537050686981306,-1.0620879515625612e+216,2.6870272353036078,0.5122197051258203,0.0036158192090395484,1021.9374608366392,-3.479638392263272e+216,spring
73,Mersey,20,[-56669.47969039],29.155563138575488,697.4899826295992,0.010719181787436215,0.032355184187131875,0.0036158192090395484,1022.2515780283223,2407.8531238116434,neap
74,Mersey,30,[5.32800436e+217],28.537050686981306,-9.22546118021064e+215,2.6870272353036078,0.5122197051258203,0.005423728813559322,1021.9374608366392,-2.318724519436763e+216,spring
75,Mersey,30,[-3270.2566429],29.155563138575488,87.00747267510997,0.010719181787436215,0.032355184187131875,0.005423728813559322,1022.2515780283223,163.73628949194259,neap
76,Mersey,40,[3.61197122e+217],28.537050686981306,-8.338857119468295e+215,2.6870272353036078,0.5122197051258203,0.007231638418079097,1021.9374608366392,-1.7384931558759315e+216,spring
77,Mersey,40,[-414.58085101],29.155563138575488,38.93432426033251,0.010719181787436215,0.032355184187131875,0.007231638418079097,1022.2515780283223,24.310904689978944,neap
78,Mersey,50,[2.66950033e+217],28.537050686981306,-7.703751089295858e+215,2.6870272353036078,0.5122197051258203,0.00903954802259887,1021.9374608366392,-1.3904531850823838e+216,spring
79,Mersey,50,[-73.18329142],29.155563138575488,31.31329040446077,0.010719181787436215,0.032355184187131875,0.00903954802259887,1022.2515780283223,5.537168434265361,neap
80,Wyre,1,[12.89409043],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.006289308176100628,1022.882047995164,0.0,spring
81,Wyre,1,[37.552445],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.006289308176100628,1022.6612574257769,0.0,neap
82,Wyre,2,[6.44704522],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.012578616352201257,1022.882047995164,0.0,spring
83,Wyre,2,[18.7762225],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.012578616352201257,1022.6612574257769,0.0,neap
