Release,Datetime,Range (m),1 m3/s,2 m3/s,5 m3/s,10 m3/s,20 m3/s,30 m3/s,40 m3/s,50 m3/s
Neap,Sample Datetime,136,124,124,124,124,187,187,187,187
Mid+,Sample Datetime,66,[198.2226136],124,124,124,187,187,187,187
Spring,Sample Datetime,66,124,124,124,124,187,187,187,187
Mid-,Sample Datetime,66,[175.51640975],124,124,124,187,187,187,187
Neap,Sample Datetime,149,88,88,88,88,200,200,200,200
Mid+,Sample Datetime,55,[50.26585383],88,88,88,200,200,200,200
Spring,Sample Datetime,55,88,88,88,88,200,200,200,200
Mid-,Sample Datetime,55,[66.47710547],88,88,88,200,200,200,200
Neap,Sample Datetime,112,63,63,63,63,187,187,187,187
Mid+,Sample Datetime,43,[256.79651642],63,63,63,187,187,187,187
Spring,Sample Datetime,43,63,63,63,63,187,187,187,187
Mid-,Sample Datetime,43,[223.81538419],63,63,63,187,187,187,187
Neap,Sample Datetime,97,61,61,61,61,110,110,110,110
Mid+,Sample Datetime,27,[110.38152513],61,61,61,110,110,110,110
Spring,Sample Datetime,27,61,61,61,61,110,110,110,110
Mid-,Sample Datetime,27,[57.20415031],61,61,61,110,110,110,110
Neap,Sample Datetime,85,49,49,49,49,85,85,85,85
Mid+,Sample Datetime,3,[71.27798649],49,49,49,85,85,85,85
Spring,Sample Datetime,3,49,49,49,49,85,85,85,85
Mid-,Sample Datetime,3,[115.39246962],49,49,49,85,85,85,85
Neap,Sample Datetime,112,51,51,51,51,150,150,150,150
Mid+,Sample Datetime,13,[63.03704282],51,51,51,150,150,150,150
Spring,Sample Datetime,13,51,51,51,51,150,150,150,150
Mid-,Sample Datetime,13,[101.32742817],51,51,51,150,150,150,150
Neap,Sample Datetime,447,411,411,411,411,508,508,508,508
Mid+,Sample Datetime,353,[42.80774501],411,411,411,508,508,508,508
Spring,Sample Datetime,353,411,411,411,411,508,508,508,508
Mid-,Sample Datetime,353,[19.26955687],411,411,411,508,508,508,508
Neap,Sample Datetime,136,61,61,61,61,224,224,224,224
Mid+,Sample Datetime,67,[2.85384967],61,61,61,224,224,224,224
Spring,Sample Datetime,67,61,61,61,61,224,224,224,224
Mid-,Sample Datetime,67,[3.85391137],61,61,61,224,224,224,224
