,Ribble
2013-06-06,41.098236
2013-06-07,40.843445
2013-06-08,40.793488
2013-06-09,40.878418
2013-06-10,40.631622
2013-06-11,40.37083
2013-06-12,39.99614
2013-06-13,39.89522
2013-06-14,39.71437
2013-06-15,39.21378
2013-06-16,38.68222
2013-06-17,38.26656
2013-06-18,37.863895
2013-06-19,37.57913
2013-06-20,38.064728
2013-06-21,37.258392
2013-06-22,37.27138
2013-06-23,37.05855
2013-06-24,37.15647
2013-06-25,36.94565
2013-06-26,36.62691
2013-06-27,36.356133
2013-06-28,36.34314
2013-06-29,36.36013
2013-06-30,36.353138
2013-07-01,36.317165
2013-07-02,36.295185
2013-07-03,36.218246
2013-07-04,35.819572
2013-07-05,35.779606
2013-07-06,35.64172
2013-07-07,35.60475
2013-07-08,35.143127
2013-07-09,35.29001
2013-07-10,34.971268
2013-07-11,34.74146
2013-07-12,34.296825
2013-07-13,34.26385
2013-07-14,34.356773
2013-07-15,34.02105
2013-07-16,34.084995
2013-07-17,33.88716
2013-07-18,33.756264
2013-07-19,33.45152
2013-07-20,33.86318
2013-07-21,33.765263
2013-07-22,33.453514
2013-07-23,33.117794
2013-07-24,32.88099
2013-07-25,32.99889
2013-07-26,32.69714
2013-07-27,32.52428
2013-07-28,32.40238
2013-07-29,32.27748
2013-07-30,31.96374
2013-07-31,31.667982
2013-08-01,31.554075
2013-08-02,31.275305
2013-08-03,31.12443
2013-08-04,31.24533
2013-08-05,31.261318
2013-08-06,30.869638
2013-08-07,31.25632
2013-08-08,30.979548
2013-08-09,30.600859
2013-08-10,30.658812
2013-08-11,30.564888
2013-08-12,30.608854
2013-08-13,30.333078
2013-08-14,30.325087
2013-08-15,30.046314
2013-08-16,29.666628
2013-08-17,29.876455
2013-08-18,29.871456
2013-08-19,29.83149
2013-08-20,29.67362
2013-08-21,29.783531
2013-08-22,29.830494
2013-08-23,29.90643
2013-08-24,29.877453
2013-08-25,29.610674
2013-08-26,29.683613
2013-08-27,29.53074
2013-08-28,29.398846
2013-08-29,29.728577
2013-08-30,29.48178
2013-08-31,29.28594
2013-09-01,29.35888
2013-09-02,29.485775
2013-09-03,29.487774
2013-09-04,29.19901
2013-09-05,29.086105
2013-09-06,29.53074
2013-09-07,29.16704
2013-09-08,29.05413
2013-09-09,28.91924
2013-09-10,29.006168
2013-09-11,29.247972
2013-09-12,29.141058
2013-09-13,29.444809
2013-09-14,29.90643
2013-09-15,29.9424
2013-09-16,30.026333
2013-09-17,29.954391
2013-09-18,29.590689
2013-09-19,29.703598
2013-09-20,29.752556
2013-09-21,29.68861
2013-09-22,29.999353
2013-09-23,30.19819
2013-09-24,30.240156
2013-09-25,29.986364
2013-09-26,30.035324
2013-09-27,30.0663
2013-09-28,30.319092
2013-09-29,30.228167
2013-09-30,30.23516
2013-10-01,30.122252
2013-10-02,30.401026
2013-10-03,30.3061
2013-10-04,30.082285
2013-10-05,30.17321
2013-10-06,30.197191
2013-10-07,31.190374
2013-10-08,31.149408
2013-10-09,31.251324
2013-10-10,31.407198
2013-10-11,30.972555
2013-10-12,30.994537
2013-10-13,31.648
2013-10-14,31.427181
2013-10-15,31.676977
2013-10-16,31.631014
2013-10-17,31.771896
2013-10-18,31.603035
2013-10-19,31.97573
2013-10-20,31.983723
2013-10-21,32.360413
2013-10-22,32.36341
2013-10-23,32.854008
2013-10-24,32.87899
2013-10-25,32.702133
2013-10-26,32.699135
2013-10-27,33.009884
2013-10-28,33.38657
2013-10-29,33.62038
2013-10-30,33.870174
2013-10-31,33.809223
2013-11-01,33.830208
2013-11-02,33.772255
2013-11-03,33.68533
2013-11-04,34.000065
2013-11-05,34.14195
2013-11-06,34.156937
2013-11-07,34.464684
2013-11-08,34.46269
2013-11-09,34.618557
2013-11-10,34.699493
2013-11-11,34.826385
2013-11-12,35.4169
2013-11-13,35.52381
2013-11-14,35.753628
2013-11-15,35.82057
2013-11-16,36.055374
2013-11-17,36.423077
2013-11-18,36.635902
2013-11-19,36.719833
2013-11-20,36.800766
2013-11-21,37.004597
2013-11-22,36.861713
2013-11-23,36.582947
2013-11-24,36.547974
2013-11-25,37.10252
2013-11-26,37.53616
2013-11-27,37.8539
2013-11-28,38.048737
2013-11-29,38.091705
2013-11-30,37.992786
2013-12-01,38.021763
2013-12-02,38.37847
2013-12-03,38.404446
2013-12-04,38.533344
2013-12-05,39.041927
2013-12-06,39.69039
2013-12-07,39.925198
2013-12-08,39.75434
2013-12-09,40.325867
2013-12-10,40.038105
2013-12-11,40.49273
2013-12-12,40.71255
2013-12-13,40.64161
2013-12-14,40.787487
2013-12-15,41.288082
2013-12-16,41.988503
2013-12-17,41.954533
2013-12-18,42.388176
2013-12-19,42.800835
2013-12-20,43.043636
2013-12-21,43.14955
2013-12-22,43.664127
2013-12-23,43.886944
2013-12-24,44.17271
2013-12-25,44.255642
2013-12-26,44.987038
2013-12-27,45.101948
2013-12-28,45.01102
2013-12-29,45.21086
2013-12-30,44.73525
2013-12-31,44.259636
2014-01-01,44.272625
2014-01-02,44.66031
2014-01-03,44.70027
2014-01-04,45.078964
2014-01-05,45.300785
2014-01-06,45.530594
2014-01-07,45.835342
2014-01-08,46.256996
2014-01-09,45.879307
2014-01-10,46.247005
2014-01-11,46.14609
2014-01-12,46.11911
2014-01-13,46.512787
2014-01-14,46.770573
2014-01-15,46.918453
2014-01-16,46.91046
2014-01-17,47.13727
2014-01-18,47.114292
2014-01-19,47.061337
2014-01-20,46.90247
2014-01-21,46.780567
2014-01-22,46.429855
2014-01-23,47.267162
2014-01-24,47.54794
2014-01-25,47.510963
2014-01-26,47.64286
2014-01-27,47.89265
2014-01-28,47.921627
2014-01-29,48.127457
2014-01-30,48.978764
2014-01-31,48.589077
2014-02-01,48.4442
2014-02-02,48.747948
2014-02-03,49.022728
2014-02-04,49.097664
2014-02-05,48.74995
2014-02-06,49.03871
2014-02-07,49.214565
2014-02-08,49.398415
2014-02-09,49.398415
2014-02-10,49.477352
2014-02-11,49.387424
2014-02-12,49.828064
2014-02-13,50.057877
2014-02-14,50.023903
2014-02-15,49.634224
2014-02-16,49.341465
2014-02-17,49.194588
2014-02-18,49.167606
2014-02-19,48.911816
2014-02-20,48.642036
2014-02-21,48.607067
2014-02-22,48.634045
2014-02-23,48.65303
2014-02-24,48.634045
2014-02-25,48.15144
2014-02-26,48.612064
2014-02-27,48.730965
2014-02-28,49.093666
2014-03-01,49.12464
2014-03-02,49.12864
2014-03-03,48.90482
2014-03-04,48.897827
2014-03-05,48.77593
2014-03-06,48.79791
2014-03-07,48.81989
2014-03-08,48.700993
2014-03-09,48.583084
2014-03-10,48.837875
2014-03-11,48.739956
2014-03-12,48.476177
2014-03-13,48.554108
2014-03-14,48.966774
2014-03-15,48.862858
2014-03-16,48.71897
2014-03-17,48.90482
2014-03-18,48.406235
2014-03-19,48.23637
2014-03-20,48.28733
2014-03-21,48.597073
2014-03-22,48.57909
2014-03-23,48.532127
2014-03-24,48.654026
2014-03-25,48.624054
2014-03-26,48.842873
2014-03-27,48.725967
2014-03-28,48.281334
2014-03-29,48.03054
2014-03-30,48.024548
2014-03-31,48.280334
2014-04-01,48.239372
2014-04-02,48.535126
2014-04-03,48.192406
2014-04-04,48.12846
2014-04-05,47.99557
2014-04-06,48.066513
2014-04-07,47.85169
2014-04-08,47.78474
2014-04-09,47.852688
2014-04-10,47.905643
2014-04-11,47.388065
2014-04-12,47.658848
2014-04-13,47.654846
2014-04-14,47.394062
2014-04-15,47.145267
2014-04-16,47.353096
2014-04-17,47.33711
2014-04-18,47.271164
2014-04-19,47.307133
2014-04-20,47.09531
2014-04-21,46.70363
2014-04-22,46.465828
2014-04-23,46.258995
2014-04-24,46.19305
2014-04-25,46.0122
2014-04-26,45.68247
2014-04-27,45.55058
2014-04-28,45.602535
2014-04-29,45.6425
2014-04-30,45.453655
2014-05-01,45.518604
2014-05-02,45.514606
2014-05-03,45.481636
2014-05-04,44.908104
2014-05-05,44.496445
2014-05-06,44.64632
2014-05-07,44.534412
2014-05-08,44.38853
2014-05-09,44.453476
2014-05-10,44.84116
2014-05-11,44.40052
2014-05-12,44.154728
2014-05-13,44.02783
2014-05-14,43.92791
2014-05-15,43.658134
2014-05-16,43.556213
2014-05-17,43.47728
2014-05-18,43.38236
2014-05-19,43.769043
2014-05-20,43.464294
2014-05-21,43.0866
2014-05-22,42.67194
2014-05-23,42.374187
2014-05-24,42.16236
2014-05-25,42.204327
2014-05-26,42.02947
2014-05-27,42.037464
2014-05-28,41.9935
2014-05-29,41.8766
2014-05-30,41.65878
2014-05-31,41.51789
2014-06-01,41.387997
2014-06-02,41.213146
2014-06-03,41.041283
2014-06-04,41.023296
2014-06-05,40.890408
